TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0000003	"reproduction"	NaN	5.655677125370858	1.1154428097959028	1	0	null
GO:0000018	"regulation of DNA recombination"	NaN	4.503763453709424	0.07861781709399839	0.8201460409604435	0.28868843	null
GO:0000723	"telomere maintenance"	NaN	4.964938127116892	0.2273550271875629	0.9023090566037945	0.43999954	null
GO:0001101	"response to acid chemical"	NaN	4.822743269302308	0.16387317945664703	0.9435169517533066	0.26104028	null
GO:0002065	"columnar/cuboidal epithelial cell differentiation"	NaN	3.760271660542063	0.014189509139108653	0.8804743670006259	0.38313962	null
GO:0002119	"nematode larval development"	NaN	3.3902283624691303	0.0060509371089997824	0.864745654256958	0.37285309	null
GO:0002682	"regulation of immune system process"	NaN	5.378971735301358	0.5898492929695653	0.850807251697491	0.17076626	null
GO:0002697	"regulation of immune effector process"	NaN	4.611085733414873	0.10065752366372387	0.8156063934965998	0.14756902	null
GO:0006040	"amino sugar metabolic process"	NaN	5.237161551732709	0.4255299955427639	0.9765754649860828	0	null
GO:0006103	"2-oxoglutarate metabolic process"	NaN	3.843855422623161	0.017201421622692253	0.9577114541779148	0.34364667	null
GO:0006357	"regulation of transcription by RNA polymerase II"	NaN	6.230386582872942	4.189454421876955	0.7615323467157127	0.48427958	null
GO:0006470	"protein dephosphorylation"	NaN	2.635483746814912	0.001062303011804035	0.9692876858181289	0.36056131	null
GO:0006520	"amino acid metabolic process"	NaN	6.338147795775586	5.369313215926915	0.9668959260167161	0.13861317	null
GO:0006570	"tyrosine metabolic process"	NaN	4.671478315597623	0.11567518549880967	0.9321998916960518	0.40260915	null
GO:0006725	"cellular aromatic compound metabolic process"	NaN	6.942344984442188	21.583212043469736	0.9500789024222143	0.27162351	null
GO:0006790	"sulfur compound metabolic process"	NaN	6.004983061042364	2.4931808033810716	0.9661108909808829	0.09410542	null
GO:0006793	"phosphorus metabolic process"	NaN	6.6761348848179205	11.692461158406187	0.9561051055578935	0.14296876	null
GO:0006807	"nitrogen compound metabolic process"	NaN	7.212386907825831	40.19370343674496	0.9632324817898797	0.21768792	null
GO:0006979	"response to oxidative stress"	NaN	5.521610056993851	0.8191810417707402	0.9515216244227748	0.30585057	null
GO:0007041	"lysosomal transport"	NaN	4.708514378122784	0.125972869914859	0.9469163048431357	0.31954794	null
GO:0007049	"cell cycle"	NaN	6.056519911116955	2.8073119376140743	0.9934011400832744	0.01363807	null
GO:0007154	"cell communication"	NaN	6.593743829102137	9.671968224175414	0.9920817878418808	0.0178355	null
GO:0007166	"cell surface receptor signaling pathway"	NaN	5.856198231743529	1.7699816731780171	0.7773303913597549	0.37086787	null
GO:0007224	"smoothened signaling pathway"	NaN	4.2459073016276765	0.04341639803463591	0.8373539607058196	0.3773861	null
GO:0007346	"regulation of mitotic cell cycle"	NaN	5.271255959383742	0.4602828318918054	0.8431461425126613	0.18962984	null
GO:0007444	"imaginal disc development"	NaN	3.5422027824340283	0.008587154740429833	0.8873469525624097	0.29841533	null
GO:0007552	"metamorphosis"	NaN	3.468790262099611	0.007251265570133344	0.8747293618822437	0.37169396	null
GO:0007610	"behavior"	NaN	4.693858799700929	0.12179267059230764	0.9080180873040791	0.42533931	null
GO:0007623	"circadian rhythm"	NaN	4.610393969712313	0.10049731555289494	0.9964806355577202	0	null
GO:0008150	"biological_process"	NaN	7.608228868089044	100	1	0	null
GO:0008152	"metabolic process"	NaN	7.368635761264388	57.597931274565454	1	0	null
GO:0009056	"catabolic process"	NaN	6.598924384475181	9.788032838620547	0.9739689611103859	0.08356314	null
GO:0009058	"biosynthetic process"	NaN	7.070693987028932	29.004480601854056	0.9664981150256488	0.15216948	null
GO:0009072	"aromatic amino acid metabolic process"	NaN	5.4761676559933745	0.7377977862098182	0.9218489457565169	0.48321713	null
GO:0009112	"nucleobase metabolic process"	NaN	5.4423809832730035	0.6825752827771746	0.9260720176581118	0.33092909	null
GO:0009410	"response to xenobiotic stimulus"	NaN	4.828040875907554	0.16588440743259156	0.9434629276733084	0.44915338	null
GO:0009605	"response to external stimulus"	NaN	6.0027494824854495	2.4803912666565906	0.9500938640269696	0.34684018	null
GO:0009719	"response to endogenous stimulus"	NaN	5.6236038194784435	1.0360338111084262	0.9542933189199849	0	null
GO:0009838	"abscission"	NaN	3.3641756327706194	0.0056984792651761694	0.876430954043273	0.33760692	null
GO:0009987	"cellular process"	NaN	7.502405022300505	78.37474688350859	1	0	null
GO:0009991	"response to extracellular stimulus"	NaN	5.52947655345026	0.8341543382828274	0.9455277829910842	0.30644268	null
GO:0010256	"endomembrane system organization"	NaN	5.414159118203173	0.639629650114359	0.9554853276250198	0.33364561	null
GO:0010646	"regulation of cell communication"	NaN	5.937713430955812	2.1354237681992716	0.823367591815595	0.2585209	null
GO:0010821	"regulation of mitochondrion organization"	NaN	4.402278581895561	0.06223468920661691	0.8369924694714457	0.13317859	null
GO:0015833	"peptide transport"	NaN	5.386479346054928	0.6001346536847817	0.9594574393094791	0.21510871	null
GO:0016032	"viral process"	NaN	4.896140251442019	0.19404652857614818	1	0	null
GO:0016050	"vesicle organization"	NaN	5.299718619907197	0.49145933025911226	0.9514420925328226	0.35398181	null
GO:0016192	"vesicle-mediated transport"	NaN	6.024668706001865	2.6087919056355493	0.9529214221473481	0.32516076	null
GO:0016311	"dephosphorylation"	NaN	5.35968563437742	0.5642283189377719	0.9698265067648302	0.04398308	null
GO:0018130	"heterocycle biosynthetic process"	NaN	6.526115221884509	8.277253100322714	0.9317466769616508	0.46779521	null
GO:0019220	"regulation of phosphate metabolic process"	NaN	5.096903064240756	0.30808512660433635	0.7953172887799893	0.27945793	null
GO:0019222	"regulation of metabolic process"	NaN	6.795869455173839	15.404248935996318	0.7848011654358713	0.45007165	null
GO:0019538	"protein metabolic process"	NaN	6.772611164347735	14.600987650961638	0.935810494533514	0.36322538	null
GO:0021700	"developmental maturation"	NaN	4.5453937192656415	0.08652716828861358	0.8841109171801256	0.37141712	null
GO:0022402	"cell cycle process"	NaN	5.912835058017687	2.0165345615232173	0.9882168492742747	0.01409544	null
GO:0022414	"reproductive process"	NaN	5.628455346480535	1.0476723141751052	0.9949443342207769	0	null
GO:0022611	"dormancy process"	NaN	2.802089257881733	0.0015601805254569702	0.9087933541763323	0	null
GO:0023051	"regulation of signaling"	NaN	5.9389747954043015	2.1416349134191	0.8305570988869495	0.23895182	null
GO:0023052	"signaling"	NaN	6.567137338347482	9.097212999986098	0.7994561963249214	0.35580688	null
GO:0030030	"cell projection organization"	NaN	5.731525106970354	1.3282977705833654	0.9521075081669106	0.39153046	null
GO:0030162	"regulation of proteolysis"	NaN	5.108125094738599	0.31614975642944726	0.808533954801061	0.45272849	null
GO:0030198	"extracellular matrix organization"	NaN	5.022486108304155	0.25956918116500777	0.9590435741033406	0.01042574	null
GO:0031000	"response to caffeine"	NaN	2.576341350205793	0.0009267423026411072	0.9498305110246102	0.48879538	null
GO:0031341	"regulation of cell killing"	NaN	4.089481202687437	0.030284262426998092	0.8774332770170896	0.11898334	null
GO:0032501	"multicellular organismal process"	NaN	6.229896505267957	4.184729514977585	1	0	null
GO:0032502	"developmental process"	NaN	6.2269052215766765	4.156005433076044	1	0	null
GO:0032879	"regulation of localization"	NaN	5.5613888296290535	0.8977569582819065	0.8447920105489369	0.19508098	null
GO:0032880	"regulation of protein localization"	NaN	4.991850478876905	0.24188959994999537	0.8272270256902241	0.17215177	null
GO:0032940	"secretion by cell"	NaN	5.4932195766843535	0.7673426265868367	0.9509298608250676	0.27507165	null
GO:0033036	"macromolecule localization"	NaN	6.343626572647517	5.437478069974368	0.9558700500061489	0.39682233	null
GO:0033363	"secretory granule organization"	NaN	3.813981075636472	0.01605778218539046	0.9617374635129382	0.35701377	null
GO:0033365	"protein localization to organelle"	NaN	5.792312528612478	1.527857922912195	0.9372157027216078	0.49083561	null
GO:0034641	"cellular nitrogen compound metabolic process"	NaN	7.002185118439548	24.77172315999013	0.9393109671953186	0.40483001	null
GO:0034660	"ncRNA metabolic process"	NaN	6.229845343754627	4.184236566944265	0.9198166769001469	0.33218724	null
GO:0035176	"social behavior"	NaN	3.2073650374690716	0.003970696408390488	0.9210149972613082	0	null
GO:0035220	"wing disc development"	NaN	3.3932241163612975	0.00609283769183196	0.8839555237972123	0.46170015	null
