TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	Representative
"GO:0001101"	"response to acid chemical"	NaN	4.822743269302308	0.16387317945664703	0.9423079889510152	0.34695647	2.4086860051491135	-6.452540112161315	null
"GO:0001501"	"skeletal system development"	NaN	4.723956176778731	0.13053263922306657	0.8353025923086497	0.54007801	-5.6912282133683885	1.4406347430474025	null
"GO:0001558"	"regulation of cell growth"	NaN	4.794209116346496	0.15345225803226778	0.8025021430979351	0.15250965	7.729751824965222	2.2724950957994987	null
"GO:0030308"	"negative regulation of cell growth"	NaN	4.550326211208258	0.08751552909541965	0.7471628370171599	0.90253965	null	null	1558
"GO:0040014"	"regulation of multicellular organism growth"	NaN	3.6437486854595256	0.01084978621336743	0.7503501815825466	0.78182159	null	null	1558
"GO:0045926"	"negative regulation of growth"	NaN	4.626976455884445	0.10440885819728708	0.7496388203474487	0.91447722	null	null	1558
"GO:0046620"	"regulation of organ growth"	NaN	3.955399086639267	0.022239350523219972	0.7401378742326393	0.81950492	null	null	1558
"GO:0046621"	"negative regulation of organ growth"	NaN	3.6378898165807905	0.010704366543538107	0.6971006161689884	0.88701873	null	null	1558
"GO:0048638"	"regulation of developmental growth"	NaN	4.743494085944266	0.13653921100906757	0.7420082484493986	0.93324096	null	null	1558
"GO:0048640"	"negative regulation of developmental growth"	NaN	4.521347331832345	0.08186634463357545	0.689330862414581	0.96932214	null	null	1558
"GO:0055021"	"regulation of cardiac muscle tissue growth"	NaN	3.167317334748176	0.003620703304733475	0.7534072132346759	0.83904991	null	null	1558
"GO:0055022"	"negative regulation of cardiac muscle tissue growth"	NaN	2.6424645202421213	0.001079556192970226	0.7256372325109911	0.90642396	null	null	1558
"GO:0060420"	"regulation of heart growth"	NaN	3.3443922736851106	0.005444611028016504	0.7519132503849767	0.74874475	null	null	1558
"GO:0061050"	"regulation of cell growth involved in cardiac muscle cell development"	NaN	2.432969290874406	0.0006654798449816461	0.7708521642493438	0.88662279	null	null	1558
"GO:0061052"	"negative regulation of cell growth involved in cardiac muscle cell development"	NaN	2.037426497940624	0.0002661919379926584	0.7046896862106379	0.94230858	null	null	1558
"GO:0061117"	"negative regulation of heart growth"	NaN	2.6424645202421213	0.001079556192970226	0.7268225884939968	0.90642396	null	null	1558
"GO:0001894"	"tissue homeostasis"	NaN	4.309800445601733	0.05029795257977945	0.893335444488437	0.528264	-5.415181698179855	2.6591483900170982	null
"GO:0048872"	"homeostasis of number of cells"	NaN	4.331771356290927	0.052908112416207465	0.8937415154305848	0.88888131	null	null	1894
"GO:0048873"	"homeostasis of number of cells within a tissue"	NaN	3.2000292665537704	0.003904148423892324	0.9085049655639684	0.85477241	null	null	1894
"GO:0060249"	"anatomical structure homeostasis"	NaN	4.312748420929561	0.050640551462936674	0.8940448080708668	0.88591943	null	null	1894
"GO:0006082"	"organic acid metabolic process"	NaN	6.562961401103923	9.010158377301833	0.9362338870233056	0.45739014	-4.624481542910912	-3.750432652701828	null
"GO:0006107"	"oxaloacetate metabolic process"	NaN	4.402622427748527	0.06228398400994887	0.9557983796692853	-0	-5.665621308427235	-2.5365653379515196	null
"GO:0006508"	"proteolysis"	NaN	6.329401134014754	5.2622572267907	0.9501429937314386	0.52839667	-2.935052720181483	-3.404754686340437	null
"GO:0006520"	"amino acid metabolic process"	NaN	6.338147795775586	5.369313215926915	0.9732436833306062	0.13861317	-0.9594352066812225	-4.62962832369543	null
"GO:0006528"	"asparagine metabolic process"	NaN	4.542987168420798	0.08604900869629344	0.9411179901692431	0.30970771	-4.998277040105035	-2.8995186496931056	null
"GO:0006541"	"glutamine metabolic process"	NaN	5.346857402008173	0.5478057552077248	0.9297967698222884	0.56948172	-4.773126732205938	-3.1117483202537315	null
"GO:0009064"	"glutamine family amino acid metabolic process"	NaN	5.683667401794174	1.189700501535188	0.923631005164466	0.77143907	null	null	6541
"GO:0009066"	"aspartate family amino acid metabolic process"	NaN	5.600638610660988	0.9826721865015646	0.9252495712540041	0.71057439	null	null	6541
"GO:0006807"	"nitrogen compound metabolic process"	NaN	7.212386907825831	40.19370343674496	0.969021964330142	0.17023419	-1.7732337816895716	-6.104250629926559	null
"GO:0006810"	"transport"	NaN	6.876105902934969	18.530066921639108	0.8934109876080824	0.57608784	-0.12333916360893832	6.6123764097367035	null
