	GO:0000902	GO:0001101	GO:0001501	GO:0001558	GO:0001894	GO:0002790	GO:0006082	GO:0006107	GO:0006508	GO:0006520	GO:0006528	GO:0006541	GO:0006807	GO:0006810	GO:0006888	GO:0007154	GO:0007267	GO:0007275	GO:0007399	GO:0007409	GO:0007417	GO:0008104	GO:0008150	GO:0008152	GO:0008361	GO:0009064	GO:0009066	GO:0009306	GO:0009410	GO:0009653	GO:0009719	GO:0009725	GO:0009743	GO:0009746	GO:0009749	GO:0009892	GO:0009894	GO:0009895	GO:0009914	GO:0009987	GO:0010033	GO:0010243	GO:0010605	GO:0010611	GO:0010614	GO:0010721	GO:0010817	GO:0014070	GO:0014741	GO:0014743	GO:0015031	GO:0015833	GO:0016043	GO:0016192	GO:0016202	GO:0016358	GO:0016579	GO:0019222	GO:0019538	GO:0019752	GO:0021952	GO:0021953	GO:0021954	GO:0021955	GO:0022008	GO:0023052	GO:0023061	GO:0030030	GO:0030072	GO:0030073	GO:0030154	GO:0030162	GO:0030182	GO:0030308	GO:0031016	GO:0031175	GO:0031323	GO:0031324	GO:0031329	GO:0031330	GO:0032501	GO:0032502	GO:0032507	GO:0032535	GO:0032787	GO:0032879	GO:0032880	GO:0032940	GO:0032989	GO:0033036	GO:0033365	GO:0034284	GO:0034641	GO:0036211	GO:0040008	GO:0040014	GO:0042176	GO:0042177	GO:0042221	GO:0042592	GO:0042886	GO:0042981	GO:0043066	GO:0043067	GO:0043069	GO:0043170	GO:0043200	GO:0043412	GO:0043436	GO:0043502	GO:0043603	GO:0043648	GO:0044057	GO:0044237	GO:0044238	GO:0044281	GO:0045184	GO:0045185	GO:0045595	GO:0045596	GO:0045843	GO:0045861	GO:0045926	GO:0046620	GO:0046621	GO:0046879	GO:0046903	GO:0046907	GO:0048193	GO:0048468	GO:0048513	GO:0048518	GO:0048519	GO:0048523	GO:0048583	GO:0048585	GO:0048634	GO:0048635	GO:0048638	GO:0048640	GO:0048666	GO:0048667	GO:0048699	GO:0048731	GO:0048812	GO:0048813	GO:0048856	GO:0048858	GO:0048869	GO:0048871	GO:0048872	GO:0048873	GO:0050789	GO:0050793	GO:0050794	GO:0050808	GO:0050896	GO:0051049	GO:0051050	GO:0051093	GO:0051128	GO:0051147	GO:0051148	GO:0051153	GO:0051154	GO:0051171	GO:0051172	GO:0051179	GO:0051222	GO:0051223	GO:0051234	GO:0051235	GO:0051239	GO:0051241	GO:0051246	GO:0051248	GO:0051641	GO:0051649	GO:0051651	GO:0055021	GO:0055022	GO:0055024	GO:0055026	GO:0060249	GO:0060255	GO:0060284	GO:0060348	GO:0060420	GO:0060996	GO:0060997	GO:0061050	GO:0061052	GO:0061117	GO:0061136	GO:0061564	GO:0065007	GO:0065008	GO:0070201	GO:0070536	GO:0070646	GO:0070647	GO:0070727	GO:0071108	GO:0071702	GO:0071704	GO:0071705	GO:0071840	GO:0072595	GO:0080090	GO:0080134	GO:0080135	GO:0090066	GO:0090087	GO:0090257	GO:0097061	GO:0097066	GO:0097068	GO:0099173	GO:0106027	GO:0120036	GO:0120039	GO:1901564	GO:1901605	GO:1901698	GO:1901700	GO:1901799	GO:1901861	GO:1901862	GO:1903050	GO:1903051	GO:1903573	GO:1904292	GO:1904293	GO:1904386	GO:1904589	GO:1904591	GO:1904951	GO:1905207	GO:1905208	GO:1905897	GO:2000026	GO:2000725	GO:2000726
GO:0000902	1	-0	0.5481542416400214	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.7338700700860775	0.6831252932914789	0.7631229561597811	0.5934166107644174	-0	-0	-0	-0	-0	-0	-0	-0	0.6976997274186304	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.49825816209064144	-0	-0	-0	-0	0.5590595840119211	0.49328002441932395	0.46652957215353297	0.5631462056129299	0.6600323147160986	-0	-0	-0	-0	-0	0.6897027455289572	-0	0.6500635024919114	-0	0.4751341590037279	0.6288201826038343	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.7903554445770503	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.6787029209787218	0.6742105251449452	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.6361519895323545	0.7690217223279654	0.6532869396438156	0.723901266509952	0.776213282059911	0.6043152542800206	0.7271271503138746	0.7770090513041283	0.6914262675769237	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.492397315933116	-0	0.43919099313685894	0.5515991698749797	-0	-0	-0	-0	0.6078404217177994	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.7766103862798955	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
GO:0001101	-0	1	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.44915338496153323	-0	0.2610402762548738	0.5065291652563036	0.42509030819582555	0.4215227406778054	0.41553712274466437	-0	-0	-0	-0	-0	0.5519207842581985	0.4950996523823838	-0	-0	-0	-0	-0	0.4598992935531148	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.42157794573189555	-0	-0	-0	-0	-0	-0	0.30376411625635863	-0	-0	-0	-0	-0	-0	-0	0.44416209065615136	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.3469564734559687	0.27557145916299497	-0	-0	-0	-0	-0	-0	0.5004491874314718	0.5282648783843752	-0	-0	-0	-0	-0	-0	-0	-0	0.27789104294357364	-0	-0	-0	-0	-0	-0	-0	-0	-0
GO:0001501	0.5481542416400214	-0	1	-0	0.4272070732099551	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.6213453199933032	0.6773996296812338	0.6070565144085521	0.5998056065095156	-0	-0	-0	-0	-0	-0	-0	-0	0.5952192034509345	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.5141540270933838	-0	-0	-0	-0	0.4606506797727788	0.5095745247818091	0.4847933894178921	0.46368544745029927	0.6577075955139048	-0	-0	-0	-0	-0	0.5849720474939012	-0	0.6491471410841555	-0	0.4252711969660946	0.6307833688973813	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.540078006061486	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.5813376611938006	0.5780386173893439	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.6371401498417184	0.61113822045666	0.6519191505929892	0.6871554859036809	0.6161034761692068	0.4940171437675969	0.6116736593642247	0.5321555974701763	0.5862114101200451	0.4547220849171495	0.4287306805359079	0.36218224688348494	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.4274108760826098	-0	-0	0.5087614539445827	-0	0.4591624363340291	0.455099258563509	-0	-0	-0	-0	0.6124831107371852	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.5319184004481887	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
GO:0001558	-0	-0	-0	1	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.17016944688040286	-0	-0	-0	-0	-0	-0	-0	0.13874057692349678	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.19213582368011795	0.1717036042285258	0.14926360975323086	0.12820443059138772	-0	-0	-0	0.19132016228901458	0.11439357356261888	0.10950027434127846	0.15371236204631572	0.1542301174095437	-0	0.1098070994329971	0.1150702553944168	-0	-0	-0	-0	0.11008316206082042	-0	-0	0.23003225915836917	-0	-0	-0	-0	-0	-0	-0	0.21638396827963569	0.1465105568754884	-0	0.12788625875403753	0.12633232417234103	-0	0.15697493301063917	-0	0.9025396542197223	-0	-0	0.24541847308675913	0.20555375390073707	0.1772275092001574	0.1573443491409491	-0	-0	-0	0.15070686104937708	-0	0.17161252236031488	0.1646479397832456	-0	-0	-0	-0	-0	-0	-0	0.15250965261608737	0.781821586716901	0.15716033465748536	0.13377834606945674	-0	-0	-0	0.17775996243928968	0.16701428056284365	0.17822941873873702	0.1673684089886398	-0	-0	-0	-0	0.11727186613108041	-0	-0	0.14881161762531522	-0	-0	-0	-0	-0	0.17257660787474127	0.15848038554100452	0.10497413316085717	0.13345655723756186	0.9144772240279604	0.8195049177135174	0.7811462737360337	0.12925459565912803	-0	-0	-0	-0	-0	0.20166669312183708	0.20259888526697004	0.2163196812864413	0.1887337283423786	0.17115915900924442	0.11216277746693633	0.10614706003912011	0.9332409594282287	0.8981072362799833	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.233445543048491	0.17994457372213377	0.2444867734442799	-0	-0	0.16737983456831634	0.15124139198411857	0.15221543348978214	0.19428405608846935	0.1400132269225772	0.12770548914995136	0.1370331925634813	0.1208346530314539	0.22698089811987468	0.18534475617376298	-0	0.1485303273188473	0.1548557366999033	-0	-0	0.17357566727525958	0.1555412450293866	0.18525980876824746	0.15839880969875636	-0	-0	-0	0.73046028532248	0.6811218334013075	0.10254970075022089	0.09828106476317683	-0	0.22898257096525268	0.16628740139132256	-0	0.7487447467156677	-0	-0	0.6632126002737438	0.631751863711755	0.6811218334013075	0.154001801477031	-0	-0	0.18437927891503156	0.15786434047942235	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.22741126290089672	0.16400148458047933	0.16359280806472287	0.15300680475764716	0.13721206456432297	0.13864693936382277	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.12863832715919518	0.1226399130836703	0.10693210211404235	0.1544227863001639	0.12925646619841977	0.13079358739431574	0.13201184205314173	0.11198010877977699	-0	0.10439156681348677	0.10431758594754229	0.1507543162513853	0.12131146618617707	0.11581943053827239	0.1406776422238577	0.16174519413382238	0.11776466870159236	0.11399151847923993
GO:0001894	-0	-0	0.4272070732099551	-0	1	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.5393881321777646	0.5100240394271928	0.4608892485977945	0.4557776503220422	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.39472145476271786	-0	-0	-0	-0	0.35593888901554244	0.3914215065960026	0.3735011046627783	0.3581521244170295	0.49635156317782775	-0	-0	-0	-0	-0	-0	-0	0.4903880191829937	-0	-0	0.4775542147883106	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.4820030764294139	0.4637628069300948	0.49232043199366865	0.5336918793552927	0.46725463148596136	0.3801837565023922	-0	-0	-0	0.5282640011356485	0.8884827438288962	0.8547724050197585	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.8859194317894916	-0	-0	0.3908352344806278	-0	0.35485292830940685	0.3518860606825165	-0	-0	-0	-0	0.4647090106919079	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
GO:0002790	-0	-0	-0	-0	-0	1	-0	-0	-0	-0	-0	-0	-0	0.2626858056615184	0.1961478700831387	-0	-0	-0	-0	-0	-0	0.22217609718773135	-0	-0	-0	-0	-0	0.681475639043446	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.1692123689176354	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.4401130520714808	0.7215914316490877	-0	0.22573320062302552	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.6285026503410535	-0	0.5960696138627019	0.5896845876258489	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.16848253844301195	-0	-0	-0	-0	0.7111330953403571	-0	0.22760481875539093	0.20486025261455298	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.39179925974593327	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.2258809396484299	0.16864814499546507	-0	-0	-0	-0	-0	-0	-0	0.5634228680105736	0.20616519409612874	0.2281541292946797	0.20655512108180893	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.2556694104760858	0.17937128304177374	-0	-0	-0	-0	0.22921330760078804	0.22646419210948168	0.17467606988905054	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.2222152982354941	-0	0.24906228212031284	-0	0.24240333987213208	-0	0.16059684451951542	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
GO:0006082	-0	-0	-0	-0	-0	-0	1	0.3155212141091043	0.1240925687167751	0.12456135174073747	0.3262958928852999	0.40562200607348614	0.14099196978992934	-0	0.013359722300851631	0.022220798634822177	0.014607254729999136	-0	-0	0.013160775249502972	-0	0.018825801478631082	-0	-0	0.011657974816072041	0.4516239585814578	0.4393410860256628	0.013408760099897814	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.01791485963983346	-0	0.023420147223557695	0.017410552502776143	-0	0.010312156537104511	0.04939042483606835	-0	0.1533336319960898	0.6361799153687786	0.00885717035914956	0.01018272820378792	0.009498539110194671	0.008936473394336663	0.014917036596940998	-0	0.011661184056829673	0.015663855861250124	0.009627314979207156	0.009467534221331661	0.017031016671676752	-0	0.014608916689613716	-0	-0	0.013963771254024968	-0	-0	-0	-0	-0	-0	0.011294431180057416	0.013175429445439115	0.5406970012162285	-0	-0	0.014482696352839984	-0	-0	0.01599664356674203	-0	0.2195070270449497	0.11688177500866445	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.18299266791594018	-0	0.12698249387446725	0.6390823207246917	-0	0.0915777299541068	0.45739014134150935	-0	0.1470717803814163	0.14644079462415918	0.11024762036094585	0.01830968609975386	0.011312820366223652	-0	-0	-0	-0	-0	-0	-0	0.009769212879077241	-0	0.01779002829712264	0.014672046895907755	0.01550361461016216	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.014184695384911699	0.013296541460499125	0.014708167206254678	-0	0.013463008286041425	0.009750058477292005	-0	0.013481492609990889	0.017091879916040966	-0	-0	-0	-0	-0	-0	0.012368663573504775	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.020118186398045367	0.018407462121783586	0.01199869369358082	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.008818416061610847	0.008713061561814074	-0	-0	-0	-0	0.013341487830852539	-0	-0	-0	0.043171716854396545	0.06804675767786042	0.10067553822795261	0.018832753000233633	0.042825225016533915	-0	0.15176763281582697	-0	0.024288701049369282	0.010445399972496425	-0	-0	-0	-0	-0	-0	0.009013125345770335	-0	-0	0.011071207173549586	0.009291160213561368	0.015242936103111861	0.013472230715468134	0.17926664344487012	0.546785781655632	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
GO:0006107	-0	-0	-0	-0	-0	-0	0.3155212141091043	1	0.06431176210796553	0.06443744365015085	0.30970770733114894	0.3552478920694152	0.05641727489716239	-0	0.008193176195298807	0.01084553810330785	0.008646026502886333	-0	-0	0.008117917698113862	-0	0.009968149621167911	-0	-0	0.00751997729542848	0.37857090953149436	0.37254154818162694	0.008211593439710741	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.009706804383607071	-0	0.011123567910729305	0.009556815650238089	-0	0.00693607011374808	0.03605215322507247	-0	0.07136494792608897	0.44992895569271674	0.006245947616917014	0.006877274417375602	0.0065582250768096385	0.006285280123184491	0.008753625785028358	-0	0.007521312496581438	0.00900558735082708	0.006619357931466034	0.006543429624942177	0.009441325266541878	-0	0.008646608735087158	-0	-0	0.0084164581587776	-0	-0	-0	-0	-0	-0	0.007367017497585092	0.008123490878280112	0.4184793574519808	-0	-0	0.008602235709454486	-0	-0	0.009114603173270215	-0	0.09509603250781	0.062319240413574006	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.07718756474663929	-0	0.06507935441637104	0.4466181264193648	-0	0.04639908256820667	0.38135400682328197	-0	0.05736620571778922	0.057269953424517385	0.050753807108476254	0.009821558594454018	0.007374836860566699	-0	-0	-0	-0	-0	-0	-0	0.006686131097199351	-0	0.009670039084787915	0.008668685097948646	0.00895238954751565	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.008496216359407583	0.008169369992145561	0.008681281289708808	-0	0.008231906828139577	0.006677153336265157	-0	0.008238813814763345	0.009459999757712233	-0	-0	-0	-0	-0	-0	0.0078094243310657474	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.010319150391318999	0.009849623111612827	0.007660291270892209	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.006226650735436589	0.006173938849929943	-0	-0	-0	-0	0.008186314488312314	-0	-0	-0	0.03262209753054765	0.04507238846680417	0.05739324134518879	0.009970098238572455	0.03242386691707525	-0	0.058067001463512534	-0	0.01131575782009664	0.006996096265429428	-0	-0	-0	-0	-0	-0	0.006323101420724452	-0	-0	0.007271388281682055	0.006458691716090304	0.00886484806444085	0.008235353868967867	0.07651672889933601	0.4209850516133821	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
GO:0006508	-0	-0	-0	-0	-0	-0	0.1240925687167751	0.06431176210796553	1	0.14641039866613156	0.18856587097364935	0.23138390688707564	0.12132831309385288	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.2557120875668682	0.2492517085699125	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.23501786317724715	-0	0.38740442423816757	0.12315220173057326	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.10625911762102513	-0	-0	-0	-0	-0	-0	-0	0.25119845035531346	0.5283966691080645	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.15937423030286255	-0	0.2989537626060966	0.12365778624731424	-0	0.19307655260868736	0.09109522709099202	-0	0.1258036071312983	0.1253416341504286	0.09784747964076083	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.20642657066365663	0.3191550304519993	0.4606549150315688	-0	0.20482534492114365	-0	0.1292237266725022	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.25699563356602534	0.30490895444527427	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
GO:0006520	-0	-0	-0	-0	-0	-0	0.12456135174073747	0.06443744365015085	0.14641039866613156	1	0.0860802629598996	0.10567509572612858	0.1219653281645689	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.11681641371159537	0.11385725672710344	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.0615407260315432	-0	0.17722704218476873	0.12361389363122131	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.10660265739470771	-0	-0	-0	-0	-0	-0	-0	0.10830028364134246	0.1386131682139172	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.1601483056526519	-0	0.1155453082663011	0.12412328391958555	-0	0.08315223941478311	0.09134759581594397	-0	0.12648861520583982	0.12602160692565983	0.09826136837987098	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.054044454734766996	0.08361568528660487	0.12079230849531793	-0	0.0536247115988906	-0	0.12994659354079707	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.15728723648457674	0.139364325115996	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
